female,age,equation,p10,p25,p50,p75,p90
1,88,ckd_epi_2009,36,46,59,72,79
1,88,ckd_epi_2021,39,50,64,79,85
1,88,ekfc,32,41,52,63,68
1,88,lund_malmo,32,42,52,60,67
1,89,ckd_epi_2009,35,45,58,71,79
1,89,ckd_epi_2021,38,49,63,77,85
1,89,ekfc,32,40,51,61,68
1,89,lund_malmo,31,41,51,60,67
1,90,ckd_epi_2009,34,44,56,70,78
1,90,ckd_epi_2021,37,48,62,76,84
1,90,ekfc,31,39,50,60,67
1,90,lund_malmo,30,40,50,58,66
1,91,ckd_epi_2009,33,43,56,70,78
1,91,ckd_epi_2021,36,47,60,76,84
1,91,ekfc,30,38,48,60,66
1,91,lund_malmo,29,39,49,58,65
1,92,ckd_epi_2009,33,42,55,69,77
1,92,ckd_epi_2021,36,46,60,75,83
1,92,ekfc,30,37,48,59,66
1,92,lund_malmo,29,38,48,57,64
1,93,ckd_epi_2009,32,42,54,68,76
1,93,ckd_epi_2021,35,45,59,74,82
1,93,ekfc,28,37,47,58,65
1,93,lund_malmo,28,37,47,56,63
1,94,ckd_epi_2009,31,41,53,67,76
1,94,ckd_epi_2021,34,45,58,73,82
1,94,ekfc,28,36,46,57,64
1,94,lund_malmo,27,37,47,55,62
1,95,ckd_epi_2009,30,40,52,66,75
1,95,ckd_epi_2021,33,44,58,73,82
1,95,ekfc,27,35,46,57,64
1,95,lund_malmo,26,36,46,54,62
1,96,ckd_epi_2009,30,40,52,66,74
1,96,ckd_epi_2021,33,44,56,72,81
1,96,ekfc,27,34,44,56,63
1,96,lund_malmo,26,35,45,54,61
1,97,ckd_epi_2009,29,38,51,64,74
1,97,ckd_epi_2021,32,42,55,70,80
1,97,ekfc,26,34,43,54,62
1,97,lund_malmo,25,34,44,53,60
1,98,ckd_epi_2009,30,39,50,65,74
1,98,ckd_epi_2021,32,42,55,71,80
1,98,ekfc,26,34,43,55,62
1,98,lund_malmo,25,34,43,53,60
1,99,ckd_epi_2009,28,37,50,64,73
1,99,ckd_epi_2021,31,41,55,70,80
1,99,ekfc,25,33,43,54,61
1,99,lund_malmo,24,33,43,52,59
1,100,ckd_epi_2009,29,38,50,63,72
1,100,ckd_epi_2021,32,42,55,69,79
1,100,ekfc,26,33,42,53,60
1,100,lund_malmo,24,33,42,51,58
